ProjectID|BuildingID|BedroomSize|MaxAllowableIncome|TotalUnits|MedianInitialLegalRent|HighInitialLegalRent|LowInitialLegalRent|MedianActualRent|HighActualRent|LowActualRent
50329|948333|2-BR|71%-80%|6||||1486|1486|1486
50329|948333|3-BR|71%-80%|3||||1709|1709|1709
50329|948333|Studio|71%-80%|3||||1146|1146|1146
49690|949890|1-BR|31%-40%|7|1288|1288|1288|645|645|645
49690|949890|1-BR|41%-50%|34|1288|1288|1288|806|806|806
49690|949890|1-BR|Non-Restricted|163||||5105|5105|5105
49690|949890|2-BR|31%-40%|2|1546|1546|1546|645|645|645
49690|949890|2-BR|41%-50%|6|1546|1546|1546|967|967|967
49690|949890|2-BR|Non-Restricted|31||||7567|7567|7567
49690|949890|2-BR|Super|1||||||
49690|949890|Studio|31%-40%|3|1202|1202|1202|602|602|602
49690|949890|Studio|41%-50%|12|1202|1202|1202|752|752|752
49690|949890|Studio|Non-Restricted|60||||3417|3417|3417
49706|948157|1-BR|31%-40%|3|590|590|590|||
49706|948157|1-BR|41%-50%|16|719|719|719|||
49706|948157|1-BR|Non-Restricted|74||||||
49706|948157|2 BR|Non-Restricted|1||||||
49706|948157|2-BR|31%-40%|1|717|717|717|||
49706|948157|2-BR|41%-50%|6|871|871|871|||
49706|948157|2-BR|Non-Restricted|25||||||
49706|948157|2-BR|Super|1||||||
49706|948157|Studio|31%-40%|1|549|549|549|||
49706|948157|Studio|41%-50%|6|669|669|669|||
49706|948157|Studio|Non-Restricted|30||||||
45265|38124|1-BR|51%-60%|9||||||
45265|38124|1-BR|71%-80%|4||||||
45265|38124|2-BR|51%-60%|26||||||
45265|38124|2-BR|71%-80%|2||||||
45265|38124|3-BR|51%-60%|17||||||
45265|38124|3-BR|71%-80%|2||||||
45265|38124|4-BR|51%-60%|5||||||
45265|38124|Studio|51%-60%|5||||||
45265|38135|1-BR|51%-60%|65||||||
45265|38135|1-BR|71%-80%|4||||||
45265|38135|2-BR|51%-60%|9||||||
45265|38135|2-BR|71%-80%|3||||||
45265|38135|2-BR|Super|1||||||
45265|38135|4-BR|51%-60%|9||||||
45265|38135|Studio|51%-60%|7||||||
49171|806372|1-BR|51%-60%|22||||977|977|977
49171|806372|1-BR|61%-65%|3||||977|977|977
49171|806372|2-BR|51%-60%|37||||1194|1194|1171
49171|806307|1-BR|51%-60%|25||||977|977|977
49171|806307|1-BR|61%-65%|1||||977|977|977
49171|806307|2-BR|51%-60%|34||||1194|1194|1194
49171|64618|1-BR|51%-60%|22||||977|977|977
49171|64618|1-BR|61%-65%|2||||977|977|977
49171|64618|2-BR|51%-60%|38||||1194|1194|1171
49171|113704|1-BR|51%-60%|31||||977|977|977
49171|113704|2-BR|51%-60%|33||||1194|1194|1194
48533|89497|1-BR|51%-60%|3||||798|965|609
48533|89497|2-BR|51%-60%|8||||997.5|1298|668
48533|89497|2-BR|Super|1||||||
48533|89497|Studio|51%-60%|5||||769|1003|767
48533|89499|1-BR|51%-60%|9||||944|1180|659
48533|89499|2-BR|51%-60%|7||||1109|1180|900
48533|89499|2-BR|Super|1||||||
48533|89500|2-BR|Super|1||||||
48533|89500|4-BR|51%-60%|8||||1297|1770|480
48533|89501|2-BR|Super|1||||||
48533|89501|4-BR|51%-60%|8||||1458|2183|930
48533|89503|1-BR|51%-60%|4||||865|1062|731
48533|89503|2-BR|51%-60%|23||||1101|1534|767
48533|89503|2-BR|Super|1||||||
48533|89503|3-BR|51%-60%|4||||1300|1500|1248
134|952514|1-BR|41%-50%|6|1500|1500|1500|||
134|952514|1-BR|51%-60%|25|1500|1500|1500|||
134|952514|2-BR|41%-50%|5|2000|2000|2000|||
134|952514|2-BR|51%-60%|17|2000|2000|2000|||
134|952514|2-BR|Super|1||||||
135|42693|1-BR|51%-60%|22||||||
135|42693|2-BR|91%-100%|1||||||
135|42693|Studio|51%-60%|74||||||
135|42693|Studio|71%-80%|1||||||
136|120780|1-BR|51%-60%|11||||861|861|861
136|120780|2-BR|51%-60%|39||||1042|1042|1042
136|120780|Studio|51%-60%|29||||801|801|801
